X,Y,OBJECTID,CODIGO_ACCIDENTADO,FORMULARIO,FECHA_OCURRENCIA_ACC,HORA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,MES_OCURRENCIA_ACC,DIA_OCURRENCIA_ACC,FECHA_HORA_ACC,DIRECCION,CLASE_ACC,LOCALIDAD,CODIGO_VEHICULO,CONDICION,MUERTE_POSTERIOR,FECHA_POSTERIOR_MUERTE,GENERO,EDAD,CONDICION_A
-74.162,4.60300000000001,1834893,12820196,A001450776,2022/06/04 05:00:00+00,18:55:00,2022,JUNIO,SABADO,2022/06/04 23:55:00+00,AVENIDA CIUDAD DE VILLAVICENCIO 53 C BIS SUR 02,VOLCAMIENTO,BOSA,1,MOTOCICLISTA,N,,MASCULINO,43,MOTOCICLISTA
-74.094,4.58600000000001,1834954,12820257,A001451338,2022/03/31 05:00:00+00,22:00:00,2022,MARZO,JUEVES,2022/04/01 03:00:00+00,AVENIDA CARACAS 11 SUR 02,CHOQUE,ANTONIO NARINO,1,MOTOCICLISTA,N,,MASCULINO,45,MOTOCICLISTA
-74.179801319,4.60508672600002,1834959,12820263,A001453202,2022/06/06 05:00:00+00,22:00:00,2022,JUNIO,LUNES,2022/06/07 03:00:00+00,CL 59 SUR 78 H 02,ATROPELLO,BOSA,,PEATON,N,,MASCULINO,58,PEATON
-74.114,4.596,1835179,12820497,A001452709,2022/06/07 05:00:00+00,09:34:00,2022,JUNIO,MARTES,2022/06/07 14:34:00+00,AU DEL SUR PRIMERO DE MAYO 02,CHOQUE,ANTONIO NARINO,1,PASAJERO,N,,MASCULINO,84,PASAJERO
-74.128,4.65100000000001,1835184,12820500,A001453376,2022/06/07 05:00:00+00,16:32:00,2022,JUNIO,MARTES,2022/06/07 21:32:00+00,CL 17 73 02,CHOQUE,FONTIBON,3,MOTOCICLISTA,N,,MASCULINO,40,MOTOCICLISTA
-74.08325014,4.562493238,1835191,12820508,A001452523,2022/06/07 05:00:00+00,08:15:00,2022,JUNIO,MARTES,2022/06/07 13:15:00+00,KR 9 C ESTE 28 B SUR 02,CHOQUE,SAN CRISTOBAL,1,MOTOCICLISTA,N,,MASCULINO,43,MOTOCICLISTA
-74.08325014,4.562493238,1835192,12820510,A001452523,2022/06/07 05:00:00+00,08:15:00,2022,JUNIO,MARTES,2022/06/07 13:15:00+00,KR 9 C ESTE 28 B SUR 02,CHOQUE,SAN CRISTOBAL,1,PASAJERO,N,,FEMENINO,23,MOTOCICLISTA
-74.074443767,4.668716851,1835589,12827868,A001453069,2022/06/05 05:00:00+00,00:06:00,2022,JUNIO,DOMINGO,2022/06/05 05:06:00+00,AC 72 51 02,ATROPELLO,BARRIOS UNIDOS,,PEATON,N,,FEMENINO,57,PEATON
-74.095,4.75599999999997,1835652,12821206,A001453411,2022/06/09 05:00:00+00,18:27:00,2022,JUNIO,JUEVES,2022/06/09 23:27:00+00,CL 153 109 B 02,CHOQUE,SUBA,2,MOTOCICLISTA,N,,FEMENINO,24,MOTOCICLISTA
-74.145,4.59500000000003,1836215,12806295,A001394937,2022/03/18 05:00:00+00,19:40:00,2022,MARZO,VIERNES,2022/03/19 00:40:00+00,TV 60 45 A 02,ATROPELLO,TUNJUELITO,,PEATON,S,2022/06/13 00:00:00+00,MASCULINO,69,PEATON
-74.088050765,4.59960829300002,1836275,12806347,A001395754,2022/03/19 05:00:00+00,14:40:00,2022,MARZO,SABADO,2022/03/19 19:40:00+00,CL 6 18 02,CHOQUE,LOS MARTIRES,2,CICLISTA,S,2022/03/21 05:00:00+00,MASCULINO,41,CICLISTA
-74.066,4.64100000000002,1836335,12806413,A001394724,2022/03/19 05:00:00+00,19:36:00,2022,MARZO,SABADO,2022/03/20 00:36:00+00,KR 14 53 02,CHOQUE,TEUSAQUILLO,2,PASAJERO,S,2022/04/05 00:00:00+00,MASCULINO,25,MOTOCICLISTA
-74.174,4.62700000000001,1836581,12806662,A001446730,2022/03/25 05:00:00+00,02:00:00,2022,MARZO,VIERNES,2022/03/25 07:00:00+00,CL 47 SUR 85 A 02,CHOQUE,KENNEDY,1,MOTOCICLISTA,S,2022/03/29 05:00:00+00,MASCULINO,36,MOTOCICLISTA
-74.097,4.54599999999999,1836685,12806765,A001446969,2022/03/27 05:00:00+00,16:34:00,2022,MARZO,DOMINGO,2022/03/27 21:34:00+00,CL 46 A SUR 3 ESTE 02,ATROPELLO,SAN CRISTOBAL,,PEATON,N,,MASCULINO,54,PEATON
-74.084,4.59100000000001,1836694,12806777,A001395879,2022/03/27 05:00:00+00,05:32:00,2022,MARZO,DOMINGO,2022/03/27 10:32:00+00,KR 10 2 02,ATROPELLO,SANTA FE,1,MOTOCICLISTA,N,,MASCULINO,24,MOTOCICLISTA
-74.099,4.58100000000002,1836800,12806885,A001446872,2022/03/26 05:00:00+00,22:50:00,2022,MARZO,SABADO,2022/03/27 03:50:00+00,KR 12 D 19 SUR 02,CHOQUE,ANTONIO NARINO,2,MOTOCICLISTA,N,,MASCULINO,40,MOTOCICLISTA
-74.091,4.58999999999997,1836801,12806889,A001446857,2022/03/25 05:00:00+00,23:04:00,2022,MARZO,VIERNES,2022/03/26 04:04:00+00,KR 14 3 SUR 02,VOLCAMIENTO,ANTONIO NARINO,1,MOTOCICLISTA,S,2022/04/20 05:00:00+00,MASCULINO,27,MOTOCICLISTA
-74.138,4.56700000000001,1837289,12823501,A001454511,2022/06/22 05:00:00+00,17:00:00,2022,JUNIO,MIERCOLES,2022/06/22 22:00:00+00,CL 56 SUR 19 C 02,CHOQUE,TUNJUELITO,2,CICLISTA,S,2022/06/25 05:00:00+00,MASCULINO,25,CICLISTA
-74.10641827,4.49749671400002,1837536,12822800,A001454311,2022/06/20 05:00:00+00,13:00:00,2022,JUNIO,LUNES,2022/06/20 18:00:00+00,CL 91 SUR 1 c 30 ESTE,ATROPELLO,USME,,PEATON,N,,MASCULINO,23,PEATON
